Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-11-01,218,220.5,216.4,217.15,217.75,2117862,4624.44
2018-11-02,220,223.5,216.9,217.75,217.65,1701852,3762.47
2018-11-05,217.5,221.35,217.05,219.75,219.85,977010,2140.78
2018-11-06,220.75,221.75,213.15,213.5,213.8,1114288,2413.57
2018-11-07,215,216.55,214.8,215.2,215.2,180558,388.74
2018-11-09,215,215.6,208.55,211.5,209.5,3291284,6959.99
2018-11-12,211,217,210.2,214.7,214.7,2554231,5466.23
2018-11-13,214,221.2,211.8,221,219.95,1773622,3832.09
2018-11-14,220.55,221.45,216.5,217.45,217.4,1316163,2870.51
2018-11-15,217.95,222.5,216.7,221,221.45,1146455,2527.51
2018-11-16,221.5,224.25,218.55,222.3,221.8,817962,1811.95
2018-11-19,222,225.5,221.5,224.1,224.15,904579,2022.99
2018-11-20,223,224.85,215,215,215.95,913551,2003.21
2018-11-21,215,220.45,215,219.85,219,1168853,2552.75
2018-11-22,219,219.7,214.8,215.75,215.9,967411,2099.53
2018-11-26,217.45,218.9,213,218.1,217.65,1452206,3133.2
2018-11-27,218.95,219.95,214,217.75,217.75,1863491,4039.51
2018-11-28,217.4,221.45,215.2,215.65,216,977424,2130.79
2018-11-29,217,220.65,213.9,218.5,218.75,2173966,4728.62
2018-11-30,216.25,220.6,216.25,217.65,218.65,1044674,2282.89
2018-12-03,218.5,219.2,214.3,215.15,214.75,1099033,2373.58
2018-12-04,214.75,216.75,208.8,210.15,209.5,1908684,4030.39
2018-12-05,209,212.5,205.4,212,211.7,3055629,6417.65
2018-12-06,210.5,211.65,207,207,208.15,1270790,2650.42
2018-12-07,208.55,209.5,203.3,206,206.55,1422582,2928.98
2018-12-10,203,209.6,197.05,197.05,198.2,2514120,5133.76
2018-12-11,195,203.8,195,202.85,202.85,1818568,3635.49
2018-12-12,203.15,213.9,203,212.65,212.95,1755046,3695.14
2018-12-13,213.35,215.7,210.25,212.9,212.4,1196911,2552.82
2018-12-14,212,213.35,210,213.3,212.35,860565,1822.86
2018-12-17,212.8,213.4,209.5,210,210.05,1303397,2740.81
2018-12-18,209.8,213.5,208.95,211,210.1,1395195,2942.03
2018-12-19,210.6,214.65,209.55,210.1,210.15,2459567,5205.18
2018-12-20,209.5,213.1,208.6,210.15,210.2,1263237,2658.49
2018-12-21,211,219.6,210.8,215,215.4,5654362,12257.27
2018-12-24,215.55,224,215.4,219.05,219.05,5808490,12802.57
2018-12-26,220.4,220.4,212.4,217.95,218.55,1598566,3456.42
2018-12-27,221.8,224.9,215.2,220.1,220.05,9509683,20912.5
2018-12-28,221.75,223.3,219.55,220.75,220.8,2263147,5006.86
2018-12-31,222,223.65,218.85,219.55,219.4,965858,2131.09
2019-01-01,219.95,221.05,218.05,218.95,219.1,716275,1571.63
2019-01-02,219,220.35,213.6,214.2,214.6,1081778,2340.31
2019-01-03,214.95,215.35,209.9,210.55,210.05,2096553,4433.5
2019-01-04,210.6,214.9,210,213.5,213.8,1213181,2583.05
